Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
13-04-2020,AARTIIND,EQ,911.3,915,974.65,895,899.9,900.05,929.59,442244,4.11106E+13,35606,203027,0.4591
15-04-2020,AARTIIND,EQ,900.05,920,938.8,897,915,912.35,914.82,431292,3.94556E+13,26599,273829,0.6349
16-04-2020,AARTIIND,EQ,912.35,925,944,916.1,929.85,924.4,929.82,216387,2.01201E+13,13608,79284,0.3664
17-04-2020,AARTIIND,EQ,924.4,943,951.95,926.4,951,943.95,935.7,202322,1.89314E+13,11505,125688,0.6212
20-04-2020,AARTIIND,EQ,943.95,953.4,961.3,929.2,942,936.9,947.91,137485,1.30324E+13,9356,60036,0.4367
21-04-2020,AARTIIND,EQ,936.9,925,948,911.15,915,916.4,930.27,392790,3.65402E+13,15080,255957,0.6516
22-04-2020,AARTIIND,EQ,916.4,915,934.5,903.5,910,910.6,920.49,125892,1.15882E+13,15824,58411,0.464
23-04-2020,AARTIIND,EQ,910.6,925.25,960,925,938.9,937.6,942.19,309881,2.91966E+13,22828,110190,0.3556
24-04-2020,AARTIIND,EQ,937.6,937,944.6,918,930,926.85,925.69,199664,1.84827E+13,14462,123557,0.6188
27-04-2020,AARTIIND,EQ,926.85,930,1028.5,930,1025,1017.3,987.38,817997,8.07678E+13,50241,293368,0.3586
28-04-2020,AARTIIND,EQ,1017.3,1045,1115,1043,1113,1105.45,1088.29,1366824,1.48749E+14,63212,363323,0.2658
29-04-2020,AARTIIND,EQ,1105.45,1116,1137.85,1070,1110.5,1108.9,1111.01,678994,7.54372E+13,42603,265566,0.3911
30-04-2020,AARTIIND,EQ,1108.9,1128,1137,1082,1102.55,1102.4,1110.04,534833,5.93685E+13,38378,210548,0.3937
04-05-2020,AARTIIND,EQ,1102.4,1087,1125,1045.15,1100,1095.35,1091.75,462257,5.04671E+13,38989,169814,0.3674
05-05-2020,AARTIIND,EQ,1095.35,1116,1192,1106.2,1138,1138.8,1157.78,2136515,2.47362E+14,71878,642651,0.3008
06-05-2020,AARTIIND,EQ,1138.8,1150,1163.5,1082,1100,1104.7,1125.56,703139,7.91424E+13,43988,251171,0.3572
07-05-2020,AARTIIND,EQ,1104.7,1078,1125,1075,1092,1085.2,1091.81,240338,2.62403E+13,15350,83130,0.3459
08-05-2020,AARTIIND,EQ,1085.2,1097.8,1115.5,1050.05,1061,1064.85,1073.51,297353,3.19212E+13,21045,122752,0.4128
11-05-2020,AARTIIND,EQ,1064.85,1072,1081,1015.1,1024,1024.7,1031.18,501367,5.17001E+13,69889,266553,0.5317
12-05-2020,AARTIIND,EQ,1024.7,1023.9,1059.95,1015.3,1040,1035.05,1035.2,605498,6.26812E+13,53660,207838,0.3433
13-05-2020,AARTIIND,EQ,1035.05,1070.5,1070.5,1025,1029,1029.95,1043.28,271164,2.829E+13,18871,132796,0.4897
14-05-2020,AARTIIND,EQ,1029.95,1027.8,1050,1016.5,1023,1021.55,1035.02,590394,6.11067E+13,21431,385096,0.6523
15-05-2020,AARTIIND,EQ,1021.55,1026.9,1046.25,1020,1026.15,1026.05,1032.36,271922,2.80721E+13,16822,125383,0.4611
18-05-2020,AARTIIND,EQ,1026.05,1033.95,1033.95,985,1000,1000.9,1002.46,226668,2.27226E+13,17964,72088,0.318
19-05-2020,AARTIIND,EQ,1000.9,1007,1025,987,999,991.9,1004.84,219957,2.21023E+13,11736,68842,0.313
20-05-2020,AARTIIND,EQ,991.9,999,1005.5,982.45,1005.4,1001.45,996.18,141246,1.40707E+13,9130,42373,0.3
21-05-2020,AARTIIND,EQ,1001.45,1006,1032.5,999.05,1008.5,1007.4,1015.94,290859,2.95496E+13,15539,112196,0.3857
22-05-2020,AARTIIND,EQ,1007.4,1011.15,1048,1011.15,1030.5,1029.65,1034.68,452080,4.6776E+13,24219,141158,0.3122
26-05-2020,AARTIIND,EQ,1029.65,1027,1027,991,1014.7,1009.85,1006.69,492917,4.96213E+13,23901,167382,0.3396
27-05-2020,AARTIIND,EQ,1009.85,1016.95,1021,984,986,986.5,993.32,381808,3.79258E+13,22954,222076,0.5816
28-05-2020,AARTIIND,EQ,986.5,992.4,1007.8,978,981.05,983.5,989.95,286139,2.83263E+13,16149,142204,0.497
29-05-2020,AARTIIND,EQ,983.5,987.15,987.15,963.05,973.45,976.15,974.57,424470,4.13676E+13,25233,209806,0.4943
